Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	muscle of iris	textual definition	.
ERROR	duplicate_definition	early pharyngeal endoderm	textual definition	.
ERROR	duplicate_definition	layer of sclera	textual definition	.
ERROR	duplicate_definition	transitively anteriorly connected to	textual definition	.
ERROR	multiple_equivalent_classes	blastula	owl:equivalentClass	d70904b4-c450-41f8-a968-aaaf3d571ee5genid3448
ERROR	multiple_equivalent_classes	blastula	owl:equivalentClass	d70904b4-c450-41f8-a968-aaaf3d571ee5genid3452
ERROR	multiple_equivalent_classes	neurula embryo	owl:equivalentClass	d70904b4-c450-41f8-a968-aaaf3d571ee5genid7553
ERROR	multiple_equivalent_classes	neurula embryo	owl:equivalentClass	d70904b4-c450-41f8-a968-aaaf3d571ee5genid7557
ERROR	multiple_equivalent_classes	gastrula	owl:equivalentClass	d70904b4-c450-41f8-a968-aaaf3d571ee5genid7890
ERROR	multiple_equivalent_classes	gastrula	owl:equivalentClass	d70904b4-c450-41f8-a968-aaaf3d571ee5genid7894
ERROR	deprecated_property_reference	obsolete has active participant	owl:inverseOf	<http://purl.obolibrary.org/obo/RO_0002217>
ERROR	missing_label	http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled	label	
ERROR	missing_label	rdf:PlainLiteral	label	
ERROR	missing_label	xsd:boolean	label	
ERROR	missing_label	xsd:string	label	
ERROR	deprecated_class_reference	obsolete cell part	rdfs:subClassOf	<http://purl.obolibrary.org/obo/GO_0005634>
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/ecocore.owl	dc11:description	
ERROR	duplicate_label	root	label	root
ERROR	duplicate_label	root	label	root
ERROR	duplicate_label	reproductive behavior	label	reproductive behavior
ERROR	duplicate_label	reproductive behavior	label	reproductive behavior
ERROR	duplicate_label	primordium	label	primordium
ERROR	duplicate_label	primordium	label	primordium
ERROR	duplicate_label	multicellular anatomical structure	label	multicellular anatomical structure
ERROR	duplicate_label	multicellular anatomical structure	label	multicellular anatomical structure
ERROR	duplicate_label	immaterial anatomical entity	label	immaterial anatomical entity
ERROR	duplicate_label	immaterial anatomical entity	label	immaterial anatomical entity
ERROR	duplicate_label	feeding behavior	label	feeding behavior
ERROR	duplicate_label	feeding behavior	label	feeding behavior
