?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ECOCORE_00000078>		
<http://purl.obolibrary.org/obo/CARO_0010004>		
<http://purl.obolibrary.org/obo/ECOCORE_00000140>	"An herbivore that primarily consumes nectar"	"https://www.wikidata.org/entry/Q120880"
<http://purl.obolibrary.org/obo/ECOCORE_00000005>	"A function which inheres in a living entity by virtue of that entity being able to feed on living or once-living (dead) material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000055>	"An decomposer which obtains nutrition by consuming detritus."	
<http://purl.obolibrary.org/obo/ECOCORE_00000160>	"A form of symbiosis in which a bacterium provides chemically-derived energy and nutrients, often via the oxidation of hydrogen sulfide, to a higher organism."	
<http://purl.obolibrary.org/obo/ECOCORE_00000096>	"a predator that captures or traps prey by stealth or strategy, rather than by speed or strength."	
<http://purl.obolibrary.org/obo/ECOCORE_00000006>	"A function which inheres in a living entity by virtue of that entity being able to harvest energy and create biomass from non-living materials."	
<http://purl.obolibrary.org/obo/ECOCORE_00000162>	"A process during which a living entity acquires reducing equivalents from organic chemicals for use in biosynthesis or energy conservation via aerobic or anaerobic respiration."	
<http://purl.obolibrary.org/obo/ECOCORE_00000085>	"An herbivore that primarily consumes roots"	
<http://purl.obolibrary.org/obo/ECOCORE_00000019>	"An organism which consumes plants or macroalgae via ingestion through a type of \"mouth\". Plant or algal matter is broken down through an internal digestion process."	
<http://purl.obolibrary.org/obo/ecocore_00000133>	"An environmental zone which an animal consistently defends against conspecifics or, occasionally, animals of other species"	
<http://purl.obolibrary.org/obo/ECOCORE_00000016>	"A heterotrophic process during which a living entity acquires food and energy by consuming living fungal material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000137>	"An herbivore that primarily consumes pollen"	"https://www.wikidata.org/entity/Q3805698"
<http://purl.obolibrary.org/obo/ECOCORE_00000066>	"Two or more males have an exclusive mating relationship with two or more females"	
<http://purl.obolibrary.org/obo/ECOCORE_00000152>	"A parasite that lives on the exterior surface of its host"	"https://www.wikidata.org/entity/Q7880449"
<http://purl.obolibrary.org/obo/ECOCORE_00000002>	"A food web in which the outputs of a trophic interaction are consumed by organisms acting in a lower trophic level relative to the initial interaction."	
<http://purl.obolibrary.org/obo/ECOCORE_00000059>	"A decomposition process during which a living entity acquires food and energy through extracellular digestion of decaying organic matter."	
<http://purl.obolibrary.org/obo/ECOCORE_00000010>	"An organism that obtains carbon for growth and development by metabolizing biogenic organic compounds derived from living or dead material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000113>	"A heterotrophic process during which a living entity acquires food and energy by consuming a wide range of food items."	
<http://purl.obolibrary.org/obo/ECOCORE_00000014>	"A process during which a living entity acquires reducing equivalents from inorganic chemicals for use in biosynthesis or energy conservation via aerobic or anaerobic respiration."	
<http://purl.obolibrary.org/obo/ECOCORE_00000086>	"An herbivore that primarily consumes algae"	
<http://purl.obolibrary.org/obo/ECOCORE_00000155>	"A heterotrophic process during which a living entity acquires food and energy from consuming hard organisms or hard parts of organisms. This can include plants, such as bamboo, animals with hard shells, such as corals, or the hard parts of organisms, such as bone. Durophagy requires special adaptions, such as blunt, strong teeth and a heavy jaw."	"https://www.wikidata.org/entity/Q5316712"
<http://obolibrary.org/obo/ECOCORE_00000103>	"A carnivorous process during which a living entity acquires food and energy by consuming dead or decaying animal matter."	
<http://purl.obolibrary.org/obo/ECOCORE_00000110>	"A predation process during which a group of predators cooperates to kill creatures larger than those they could overpower singly."	
<http://purl.obolibrary.org/obo/ECOCORE_00000069>	"The ecological state of a species or population wherein all individuals are dead."	
<http://purl.obolibrary.org/obo/ECOCORE_00000135>	"An organismal quality inhering in a bearer by virtue of the bearer's ability to live on the surface of the soil and in leaf litter"	
<http://purl.obolibrary.org/obo/ECOCORE_00000108>	"A predation process during which a living entity acquires food and energy by consuming insects."	
<http://purl.obolibrary.org/obo/ECOCORE_00000042>	"a reproductive quality inhering in the bearer by virtue of the bearer having reproductive organs normally associated with both male and female sexes at the same time"	
<http://purl.obolibrary.org/obo/ECOCORE_00000109>	"A predation process during which a living entity acquires food and energy by consuming eggs."	
<http://purl.obolibrary.org/obo/ECOCORE_00000058>	"A heterotrophic process during which a living entity acquires food and energy by breaking down organic substances into simpler matter."	
<http://purl.obolibrary.org/obo/ECOCORE_00000051>	"A heterotroph that acquires nutrition by consuming particles suspended in water or air."	
<http://purl.obolibrary.org/obo/ECOCORE_00000033>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that receive nutriments from the female during prenatal development via a specialized structure, such as a placenta"	
<http://purl.obolibrary.org/obo/ECOCORE_00000068>	"The ecological state of a species being unique to a defined geographic location, such as an island, nation, or other defined zone or habitat type."	
<http://purl.obolibrary.org/obo/ECOCORE_00000044>	"The process by which a larvae transforms into an adult wherein the larvae looks like a smaller adult form"	
<http://purl.obolibrary.org/obo/ECOCORE_00000126>	"A photoheterotroph which is capable of using an abiogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000141>	"An organismal quality inhering in a bearer by virtue of the bearer's ability to live in the top 20 cm of soil and make temporary, horizontal burrows."	
<http://purl.obolibrary.org/obo/ECOCORE_00000139>	"A heterotrophic process during which a living entity acquires food and energy by eating food off of a surface while slowly moving through the environment."	
<http://purl.obolibrary.org/obo/ECOCORE_00000092>		
<http://purl.obolibrary.org/obo/ECOCORE_00000060>	"A heterotrophic process during which a living entity acquires food and energy through a symbiotic relationship with another organism."	
<http://purl.obolibrary.org/obo/ECOCORE_00000053>	"Organism that acquires nutrition by consuming particles of organic matter that have settled to the bottom of a body of water. The organism lives on or in the bottom sediment and uses a part of its body to retrieve the food particles directly from the surface."	
<http://purl.obolibrary.org/obo/ECOCORE_00000124>	"A chemoautotroph which is capable of using an abiogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000136>	"An herbivore that primarily consumes fruits or fruit-like vegetables"	"https://www.wikidata.org/entity/Q1470764"
<http://purl.obolibrary.org/obo/ECOCORE_00000165>	"A carnivorous process during which a living entity acquires food and energy from consuming blood."	
<http://purl.obolibrary.org/obo/ECOCORE_00000074>	"The ecological state of a species being unique to a very small and specific location, such as the side of a mountain or a single lake."	
<http://purl.obolibrary.org/obo/ECOCORE_00000094>	"A predator that eats tertiary consumers"	
<http://purl.obolibrary.org/obo/ECOCORE_00000015>	"An organism which consumes fungi."	
<http://purl.obolibrary.org/obo/ECOCORE_00000020>	"A heterotrophic process during which a living entity acquires food and energy by consuming living plant- or macro-algal material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000089>	"A carnivore that actively captures and consumes other animals, causing their immediate or immenent death"	
