Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	ENVO:01001275	IAO:0000115	A layer which is primarily composed of some solid material, allowing for non-solid parts such as interstitial pockets of gas or liquid.	
ERROR	duplicate_definition	ENVO:01001276	IAO:0000115	A layer which is primarily composed of some solid material, allowing for non-solid parts such as interstitial pockets of gas or liquid.	
ERROR	duplicate_definition	UBERON:0001606	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0007690	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0010291	IAO:0000115	.	
ERROR	duplicate_definition	http://purl.obolibrary.org/obo/uberon/core#transitively_anteriorly_connected_to	IAO:0000115	.	
ERROR	multiple_equivalent_classes	ENVO:01000951	owl:equivalentClass	1f0712490b3b89c5c695c1ce154d802f	
ERROR	multiple_equivalent_classes	ENVO:01000951	owl:equivalentClass	21f642b6d44b7ef6b51d9602d4b40de8	
ERROR	multiple_equivalent_classes	ENVO:01001055	owl:equivalentClass	8194b31855acbd6ddb16d4198b650692	
ERROR	multiple_equivalent_classes	ENVO:01001055	owl:equivalentClass	a2da5f6b1ae682ad4e9792496fc11f1f	
ERROR	multiple_equivalent_classes	ENVO:01001057	owl:equivalentClass	02ca7d86e17fbe3a020beeb9fa3c3949	
ERROR	multiple_equivalent_classes	ENVO:01001057	owl:equivalentClass	339735076b62fa96c1439c4903a5e3a6	
ERROR	multiple_equivalent_classes	UBERON:0006347	owl:equivalentClass	1327a72319e04d8f34c9a28150aba86b	
ERROR	multiple_equivalent_classes	UBERON:0006347	owl:equivalentClass	b3bcf25097828c87493fe7372cc9db8c	
ERROR	missing_label	FOODON:00002420	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/chebi#1_STAR	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/chebi#3_STAR	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#gocheck_do_not_annotate	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#gocheck_do_not_manually_annotate	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_agr	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_aspergillus	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_candida	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_chembl	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_flybase_ribbon	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_generic	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_metagenomics	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_mouse	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_pir	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_plant	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_pombe	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_yeast	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#abnormal_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#attribute_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#disposition_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#mpath_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#relational_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#scalar_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#value_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Angiosperm	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Arabidopsis	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#CL	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Citrus	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Gymnosperms	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Maize	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Musa	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Poaceae	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Potato	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Rice	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#Tomato	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#TraitNet	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/po#reference	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#cumbo	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#developmental_classification	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#early_development	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#efo_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#emapa_ehdaa2	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#functional_classification	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#grouping_class	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#inconsistent_with_fma	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#major_organ	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#non_informative	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#organ_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#pheno_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#phenotype_rcn	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#uberon_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#upper_level	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#vertebrate_core	rdfs:label		
ERROR	missing_label	oboInOwl:Subset	rdfs:label		
ERROR	deprecated_class_reference	GO:0004872	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0016265	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0035636	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0044699	rdfs:subClassOf	GO:0044710	
ERROR	deprecated_class_reference	GO:0044699	rdfs:subClassOf	GO:0044763	
ERROR	deprecated_class_reference	GO:0044699	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0044710	rdfs:subClassOf	GO:0055114	
ERROR	deprecated_class_reference	GO:0044710	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0044763	rdfs:subClassOf	GO:0015980	
ERROR	deprecated_class_reference	GO:0044763	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0072519	rdfs:subClassOf	bfeade854307aea4a5ddf8302b04515d	
ERROR	deprecated_class_reference	GO:0072519	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0085031	rdfs:subClassOf	93f5a9c94819f0e4d2c97aefd3f59f6a	
ERROR	deprecated_class_reference	GO:0085031	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	IAO:0000230	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0000146	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001422	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001546	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001547	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001548	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001985	
ERROR	deprecated_class_reference	PATO:0001237	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	RO:0002218	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	RO:0002258	rdfs:domain	BFO:0000002	
ERROR	deprecated_class_reference	RO:0002258	rdfs:range	BFO:0000002	
ERROR	deprecated_class_reference	RO:0002258	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	RO:0002258	owl:inverseOf	RO:0002286	
ERROR	deprecated_class_reference	RO:0002609	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	ecocore.owl	dc11:description		
ERROR	duplicate_label	CHEBI:15377	rdfs:label	water	
ERROR	duplicate_label	ENVO:00002006	rdfs:label	water	
ERROR	duplicate_label	NCBITaxon:1	rdfs:label	root	
