?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/GO_0009405>		"GO:0044003"
<http://purl.obolibrary.org/obo/GO_0009405>		"GO:0052031"
<http://purl.obolibrary.org/obo/GO_0009405>		"GO:0052042"
<http://purl.obolibrary.org/obo/GO_0016265>		"GO:0008219"
<http://purl.obolibrary.org/obo/GO_0016265>		"GO:0012501"
<http://purl.obolibrary.org/obo/GO_0035636>		
<http://purl.obolibrary.org/obo/GO_0044034>		
<http://purl.obolibrary.org/obo/GO_0044402>		
<http://purl.obolibrary.org/obo/GO_0044411>	<http://purl.obolibrary.org/obo/GO_0044409>	
<http://purl.obolibrary.org/obo/GO_0044766>		
<http://purl.obolibrary.org/obo/GO_0051704>		
<http://purl.obolibrary.org/obo/GO_0052002>		
<http://purl.obolibrary.org/obo/GO_0052214>		
<http://purl.obolibrary.org/obo/GO_0052226>		
<http://purl.obolibrary.org/obo/GO_0072519>	<http://purl.obolibrary.org/obo/GO_0044403>	
<http://purl.obolibrary.org/obo/GO_0085031>	<http://purl.obolibrary.org/obo/GO_0044403>	
