?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ECOCORE_00000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"decomposer"	
<http://purl.obolibrary.org/obo/ECOCORE_00000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"trophic function"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"herbivore"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000161>	<http://www.w3.org/2000/01/rdf-schema#label>	"photosymbiosis"	
<http://purl.obolibrary.org/obo/ECOCORE_00000060>	<http://www.w3.org/2000/01/rdf-schema#label>	"symbiotrophy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000076>	<http://www.w3.org/2000/01/rdf-schema#label>	"algae"	
<http://purl.obolibrary.org/obo/ECOCORE_00000131>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoheterotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000010>	<http://www.w3.org/2000/01/rdf-schema#label>	"heterotroph"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000046>	<http://www.w3.org/2000/01/rdf-schema#label>	"endophyte"	
<http://purl.obolibrary.org/obo/ECOCORE_00000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"heterotrophy"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000101>	<http://www.w3.org/2000/01/rdf-schema#label>	"herbivorous browsing"	
<http://purl.obolibrary.org/obo/ECOCORE_00000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"herbivory"@en	
<http://purl.obolibrary.org/obo/ecocore_00000082>	<http://www.w3.org/2000/01/rdf-schema#label>	"omnivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"fungivory"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000088>	<http://www.w3.org/2000/01/rdf-schema#label>	"carnivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000143>	<http://www.w3.org/2000/01/rdf-schema#label>	"granivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000058>	<http://www.w3.org/2000/01/rdf-schema#label>	"decomposition"	
<http://purl.obolibrary.org/obo/ECOCORE_00000113>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyphagy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"oviparous"	
<http://purl.obolibrary.org/obo/ECOCORE_00000155>	<http://www.w3.org/2000/01/rdf-schema#label>	"durophagy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000125>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoorganoheterotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000071>	<http://www.w3.org/2000/01/rdf-schema#label>	"introduced"	
<http://purl.obolibrary.org/obo/ECOCORE_00000163>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemotrophy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000041>	<http://www.w3.org/2000/01/rdf-schema#label>	"arboreal"	
<http://purl.obolibrary.org/obo/ECOCORE_00000137>	<http://www.w3.org/2000/01/rdf-schema#label>	"palynivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"trophic interaction"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000107>	<http://www.w3.org/2000/01/rdf-schema#label>	"oophagy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000105>	<http://www.w3.org/2000/01/rdf-schema#label>	"intrauterine cannibalism"	
<http://purl.obolibrary.org/obo/ECOCORE_00000083>	<http://www.w3.org/2000/01/rdf-schema#label>	"graminivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000053>	<http://www.w3.org/2000/01/rdf-schema#label>	"surface deposit feeder"	
<http://purl.obolibrary.org/obo/ECOCORE_00000050>	<http://www.w3.org/2000/01/rdf-schema#label>	"deposit feeder"	
<http://purl.obolibrary.org/obo/ECOCORE_00000149>	<http://www.w3.org/2000/01/rdf-schema#label>	"preferred prey"	
<http://purl.obolibrary.org/obo/ECOCORE_00000148>	<http://www.w3.org/2000/01/rdf-schema#label>	"prey"	
<http://purl.obolibrary.org/obo/ECOCORE_00000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"autotroph"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000119>	<http://www.w3.org/2000/01/rdf-schema#label>	"protandrous hermaphroditism"	
<http://purl.obolibrary.org/obo/ECOCORE_00000120>	<http://www.w3.org/2000/01/rdf-schema#label>	"sequentially hermaphroditic"	
<http://purl.obolibrary.org/obo/ECOCORE_00000017>	<http://www.w3.org/2000/01/rdf-schema#label>	"phototrophy"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000095>	<http://www.w3.org/2000/01/rdf-schema#label>	"apex predator"	
<http://purl.obolibrary.org/obo/ECOCORE_00000089>	<http://www.w3.org/2000/01/rdf-schema#label>	"predator"	
<http://purl.obolibrary.org/obo/ECOCORE_00000013>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoautotrophy"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"lithotrophy"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000150>	<http://www.w3.org/2000/01/rdf-schema#label>	"alternate prey"	
<http://purl.obolibrary.org/obo/ECOCORE_00000065>	<http://www.w3.org/2000/01/rdf-schema#label>	"polygynous"	
<http://purl.obolibrary.org/obo/ECOCORE_00000062>	<http://www.w3.org/2000/01/rdf-schema#label>	"mating system"	
<http://purl.obolibrary.org/obo/ECOCORE_00000061>	<http://www.w3.org/2000/01/rdf-schema#label>	"sexual system"	
<http://purl.obolibrary.org/obo/ECOCORE_00000035>	<http://www.w3.org/2000/01/rdf-schema#label>	"copepodid stage 3"	
<http://purl.obolibrary.org/obo/ECOCORE_00000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"heterotrophic function"@en	
<http://obolibrary.org/obo/ECOCORE_00000103>	<http://www.w3.org/2000/01/rdf-schema#label>	"scavenging"	
<http://purl.obolibrary.org/obo/ECOCORE_00000021>	<http://www.w3.org/2000/01/rdf-schema#label>	"carnivory"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000162>	<http://www.w3.org/2000/01/rdf-schema#label>	"organotrophy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000077>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyanobacteria"	
<http://purl.obolibrary.org/obo/ECOCORE_00000132>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemoheterotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000102>	<http://www.w3.org/2000/01/rdf-schema#label>	"predation"	
<http://purl.obolibrary.org/obo/ECOCORE_00000144>	<http://www.w3.org/2000/01/rdf-schema#label>	"xylophage"	
<http://purl.obolibrary.org/obo/ECOCORE_00000059>	<http://www.w3.org/2000/01/rdf-schema#label>	"saprotrophy"	
<http://purl.obolibrary.org/obo/ECOCORE_00000114>	<http://www.w3.org/2000/01/rdf-schema#label>	"bactivory"	
<http://purl.obolibrary.org/obo/ECOCORE_00000029>	<http://www.w3.org/2000/01/rdf-schema#label>	"viviparous"	
<http://purl.obolibrary.org/obo/ECOCORE_00000090>	<http://www.w3.org/2000/01/rdf-schema#label>	"scavenger"	
<http://purl.obolibrary.org/obo/ECOCORE_00000156>	<http://www.w3.org/2000/01/rdf-schema#label>	"piscivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000036>	<http://www.w3.org/2000/01/rdf-schema#label>	"copepodid stage 4"	
<http://purl.obolibrary.org/obo/ECOCORE_00000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"ovoviviparous"	
<http://purl.obolibrary/obo/ECOCORE_00000037>	<http://www.w3.org/2000/01/rdf-schema#label>	"copepodid stage 5"	
<http://purl.obolibrary.org/obo/ECOCORE_00000126>	<http://www.w3.org/2000/01/rdf-schema#label>	"photolithoheterotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000072>	<http://www.w3.org/2000/01/rdf-schema#label>	"extant"	
<http://purl.obolibrary.org/obo/ECOCORE_00000042>	<http://www.w3.org/2000/01/rdf-schema#label>	"hermaphroditic"	
<http://purl.obolibrary.org/obo/ECOCORE_00000130>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoautotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000012>	<http://www.w3.org/2000/01/rdf-schema#label>	"mixotroph"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000108>	<http://www.w3.org/2000/01/rdf-schema#label>	"insectivory"	
<http://purl.obolibrary.org/obo/ECOCORE_00000084>	<http://www.w3.org/2000/01/rdf-schema#label>	"folivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"food chain"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000051>	<http://www.w3.org/2000/01/rdf-schema#label>	"suspension feeder"	
<http://purl.obolibrary.org/obo/ECOCORE_00000024>	<http://www.w3.org/2000/01/rdf-schema#label>	"area to mass ratio"	
<http://purl.obolibrary.org/obo/ECOCORE_00000096>	<http://www.w3.org/2000/01/rdf-schema#label>	"ambush predator"	
<http://purl.obolibrary.org/obo/ECOCORE_00000151>	<http://www.w3.org/2000/01/rdf-schema#label>	"internal parasite"	
<http://purl.obolibrary.org/obo/ECOCORE_00000146>	<http://www.w3.org/2000/01/rdf-schema#label>	"parasite"	
<http://purl.obolibrary.org/obo/ECOCORE_00000066>	<http://www.w3.org/2000/01/rdf-schema#label>	"polygynandrous"	
<http://purl.obolibrary.org/obo/ECOCORE_00000121>	<http://www.w3.org/2000/01/rdf-schema#label>	"photoorganoautotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"autotrophic function"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000078>	<http://www.w3.org/2000/01/rdf-schema#label>	"crepuscular"	
<http://purl.obolibrary.org/obo/ECOCORE_00000129>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemoautotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000048>	<http://www.w3.org/2000/01/rdf-schema#label>	"lecithotrophic larva"	
<http://purl.obolibrary.org/obo/ECOCORE_00000018>	<http://www.w3.org/2000/01/rdf-schema#label>	"life history"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000145>	<http://www.w3.org/2000/01/rdf-schema#label>	"gumnivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"food web"@en	
<http://purl.obolibrary.org/obo/ECOCORE_00000115>	<http://www.w3.org/2000/01/rdf-schema#label>	"broadcast spawn"	
<http://purl.obolibrary.org/obo/ECOCORE_00000031>	<http://www.w3.org/2000/01/rdf-schema#label>	"ovuliparous"	
<http://purl.obolibrary.org/obo/ECOCORE_00000091>	<http://www.w3.org/2000/01/rdf-schema#label>	"insectivore"	
<http://purl.obolibrary.org/obo/ECOCORE_00000157>	<http://www.w3.org/2000/01/rdf-schema#label>	"filter feeder"	
<http://purl.obolibrary.org/obo/ECOCORE_00000127>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemoorganoheterotroph"	
<http://purl.obolibrary.org/obo/ECOCORE_00000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"autotrophy"@en	
