?cls	?xref
<http://purl.obolibrary.org/obo/PO_0009010>	"FNA:f5c50e73-61e3-48ec-b918-6f85b3f40738"
<http://purl.obolibrary.org/obo/PO_0009010>	"PO_GIT:405"
<http://purl.obolibrary.org/obo/PO_0025530>	"PO_GIT:517"
<http://purl.obolibrary.org/obo/PO_0025496>	"PO_GIT:480"
<http://purl.obolibrary.org/obo/PO_0009005>	"FNA:bf0ce902-e91c-401a-92a8-26b20142ce5f"
<http://purl.obolibrary.org/obo/PO_0009005>	"PO_GIT:578"
<http://purl.obolibrary.org/obo/PO_0009062>	"PO_GIT:71"
<http://purl.obolibrary.org/obo/PO_0009062>	"PO_GIT:470"
<http://purl.obolibrary.org/obo/PO_0009062>	"PO_GIT:98"
<http://purl.obolibrary.org/obo/PO_0000037>	"PO_GIT:234"
<http://purl.obolibrary.org/obo/PO_0020148>	"PO_GIT:472"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
<http://purl.obolibrary.org/obo/PO_0008028>	"PO_GIT:36"
<http://purl.obolibrary.org/obo/PO_0025338>	"PO_GIT:391"
<http://purl.obolibrary.org/obo/PO_0025430>	"PO_GIT:427"
<http://purl.obolibrary.org/obo/PO_0007033>	"PO_GIT:390"
<http://purl.obolibrary.org/obo/PO_0025497>	"PO_GIT:479"
<http://purl.obolibrary.org/obo/PO_0009046>	"PO_GIT:160"
<http://purl.obolibrary.org/obo/PO_0009046>	"PO_GIT:259"
<http://purl.obolibrary.org/obo/PO_0025128>	"PO_GIT:466"
<http://purl.obolibrary.org/obo/PO_0025527>	"PO_GIT:517"
<http://purl.obolibrary.org/obo/PO_0025477>	"PO_GIT:465"
<http://purl.obolibrary.org/obo/PO_0025025>	"PO_GIT:136"
<http://purl.obolibrary.org/obo/PO_0025025>	"FNA:b7ce680b-c6ed-4d2e-81e6-66970f7deff9"
<http://purl.obolibrary.org/obo/PO_0009011>	"PO_GIT:57"
<http://purl.obolibrary.org/obo/PO_0025337>	"PO_GIT:230"
<http://purl.obolibrary.org/obo/PO_0025007>	"PO_GIT:63"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"PMID:32761142"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"PMID:30365038"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"GC_ID:1"
<http://purl.obolibrary.org/obo/PO_0006210>	"PO_GIT:125"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"MA:0000001"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TAO:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AAO:0010841"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"HAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"ZFA:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"FMA:62955"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"WBbt:0000100"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TGMA:0001822"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BFO:0000004"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BILA:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AEO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"NCIT:C12219"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"XAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"EHDAA2:0002229"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"CARO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BIRNLEX:6"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"UMLS:C1515976"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"FBbt:10000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	<http://linkedlifedata.com/resource/umls/id/C1515976>
<http://purl.obolibrary.org/obo/PO_0000019>	"PO_GIT:465"
